effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),4.1453961133477915,0.15087509615213032,27.475681666959186,260.0752477133333,7.217271820864829e-79
fixed,NA,labelNew,0.013583503460218306,0.110094819719258,0.12338004181174252,595.8454367539345,0.901847766531807
fixed,NA,labelRecommended,0.07444633693858622,0.11016881456665516,0.6757478260197141,596.8654028663714,0.49946249169277224
fixed,NA,position,-0.09814937359104885,0.026227269964068232,-3.7422642053677344,593.1013452152393,2.0010289583794052e-4
ran_pars,pid,sd__(Intercept),0.9320278042895119,NA,NA,NA,NA
ran_pars,clip,sd__(Intercept),0.02028387960412323,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,1.2037274907059843,NA,NA,NA,NA
