variable,neutral_M,spotify_M,apple_M,F,df1,df2,p
Openness,5,5.18,5.1,0.26,2,117,0.773
Agreeableness,4.61,4.7,4.54,0.23,2,117,0.799
Extraversion,4.39,3.95,3.92,1.17,2,117,0.315
Conscientiousness,5.18,5.54,5.19,1.21,2,117,0.302
Emotional stability,4.79,5.15,4.71,1.45,2,117,0.238
