effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),3.9000387020380978,0.2227614987629235,17.5076874760515,294.1388206122737,1.619773113465185e-47
fixed,NA,labelNew,0.23143543963429866,0.19031105022781775,1.216090391794127,588.949167797986,0.22443767163159006
fixed,NA,labelRecommended,0.1977997489825149,0.19053284595018408,1.0381398965416744,592.9965213354324,0.29962804531511045
fixed,NA,interfaceSpotify-style,0.3929410108697957,0.282786609644457,1.3895318854164773,231.53232358815487,0.16600581274046866
fixed,NA,interfaceAppleMusic-style,0.3497644719611342,0.28277594713743237,1.2368961204155904,231.48883499023796,0.21737898964149488
fixed,NA,position,-0.09876537978697535,0.026243185839456687,-3.7634676060740073,589.2097871563118,1.8434516487174572e-4
fixed,NA,labelNew:interfaceSpotify-style,-0.5322751484414175,0.2691335978965288,-1.977735788476533,592.7184977120734,0.0484212833993552
fixed,NA,labelRecommended:interfaceSpotify-style,-0.25762812388851086,0.26917645817370306,-0.957097532363919,592.6934487793411,0.3389082560706732
fixed,NA,labelNew:interfaceAppleMusic-style,-0.12167717638600004,0.2691142714590794,-0.4521394414584284,591.9551153460919,0.6513341636628783
fixed,NA,labelRecommended:interfaceAppleMusic-style,-0.11243104646526152,0.2691217189129356,-0.41777024507499677,592.9536288570582,0.6762663442984622
ran_pars,pid,sd__(Intercept),0.9355113329464171,NA,NA,NA,NA
ran_pars,clip,sd__(Intercept),0.022775921812396134,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,1.2033089304037201,NA,NA,NA,NA
