effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),22428.079892242833,5435.398381170711,4.126299181664055,164.40048484415215,5.844506449047647e-5
fixed,NA,labelNew,6689.332015441898,4714.723979061394,1.418817314682674,575.715225650551,0.15649341183683632
fixed,NA,labelRecommended,877.9311670888928,4727.015181713353,0.18572632693992705,577.7118510811371,0.8527245719745902
fixed,NA,position,1347.4950370660251,1123.4424944530522,1.1994339218244126,580.1028826830787,0.23084893101594176
ran_pars,pid,sd__(Intercept),8052.747543396191,NA,NA,NA,NA
ran_pars,clip,sd__(Intercept),1941.9198221993126,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,50697.25112923727,NA,NA,NA,NA
