item,estimate,SE,p
liked,0.05372301028638119,0.12351189786723933,0.66374710192873
taste_match,0.04939478256336596,0.1222317410284306,0.686278295645042
relevance,0.12126064219447483,0.10590129603289018,0.25265400397185156
replay,0.0353998475007236,0.1287811699772541,0.7835007071941387
save,0.12646246337479589,0.1281814843068896,0.32424390024778715
